,id,original_title,popularity,vote_count,genre_ids
97,568300,러브 유어셀프 인 서울,12.591,431,[10402]
98,490132,Green Book,52.689,10746,"[18, 36]"
99,361743,Top Gun: Maverick,172.453,7947,"[28, 18]"
100,290098,아가씨,86.741,3385,"[53, 18, 10749]"
101,626332,Flamin' Hot,53.874,443,"[35, 18]"
102,441130,Wolfwalkers,26.94,1059,"[16, 10751, 12, 14]"
103,110420,おおかみこどもの雨と雪,33.961,2128,"[16, 10751, 18, 14, 12]"
104,24188,Il sorpasso,15.634,653,"[18, 35]"
105,537061,Steven Universe: The Movie,21.491,788,"[10770, 16, 878, 28, 12, 35, 18, 14, 10402]"
106,851644,20세기 소녀,131.539,552,"[10749, 18]"
107,797,Persona,17.187,1964,[18]
108,37257,Witness for the Prosecution,31.497,1252,"[18, 9648, 80]"
109,694,The Shining,55.219,16487,"[27, 53]"
110,476292,さよならの朝に約束の花をかざろう,29.199,567,"[12, 16, 18, 10751, 14, 10749]"
111,354912,Coco,103.916,18322,"[10751, 16, 14, 10402, 35, 12]"
112,284,The Apartment,33.981,2075,"[35, 18, 10749]"
113,556574,Hamilton,26.405,1258,"[36, 18]"
114,16869,Inglourious Basterds,73.537,21092,"[18, 53, 10752]"
115,185,A Clockwork Orange,45.656,12149,"[878, 80]"
116,98,Gladiator,71.043,17299,"[28, 18, 12]"
117,857,Saving Private Ryan,75.156,14902,"[18, 36, 10752]"
118,603,The Matrix,90.574,24236,"[28, 878]"
119,810693,劇場版 呪術廻戦 0,129.293,1165,"[16, 28, 14]"
120,5156,Ladri di biciclette,16.467,2190,[18]
121,522924,The Art of Racing in the Rain,34.359,1355,"[18, 10749]"
122,26451,Indagine su un cittadino al di sopra di ogni sospetto,9.75,708,"[18, 53]"
123,1124,The Prestige,52.641,14966,"[18, 9648, 878]"
124,11,Star Wars,106.175,19451,"[12, 28, 878]"
125,50014,The Help,48.86,7670,[18]
126,11324,Shutter Island,63.812,22684,"[18, 53, 9648]"
